Percent of Optimal,Random,Reverse Optimal,Random Reverse Optimal
0,8596.0,,
1,8427.0,45043.0,49750.0
2,7786.0,26871.0,23383.0
3,7484.0,20758.0,18066.0
4,6713.0,15724.0,15881.0
5,5456.0,12896.0,13024.0
6,5245.0,11451.0,12395.0
7,5456.0,10270.0,8854.0
8,4061.0,9212.0,8681.0
9,3717.0,8100.0,7633.0
10,4142.0,7123.0,6984.0
11,3609.0,6780.0,6517.0
12,4308.0,6780.0,6713.0
13,3239.0,5963.0,6780.0
14,3303.0,6022.0,5565.0
15,3176.0,5402.0,5510.0
16,2690.0,4849.0,4437.0
17,2213.0,4570.0,3866.0
18,2416.0,4394.0,3982.0
19,1877.0,3982.0,3982.0
20,2440.0,3574.0,3681.0
21,1823.0,3303.0,2966.0
22,1517.0,3369.0,3114.0
23,1404.0,3207.0,3054.0
24,1577.0,2770.0,2562.0
25,1378.0,2937.0,2562.0
26,1228.0,2562.0,2587.0
27,1182.0,1989.0,2068.0
28,1171.0,1913.0,2235.0
29,942.0,1895.0,1771.0
30,1095.0,1788.0,1655.0
31,882.0,1460.0,1562.0
32,834.0,1562.0,1404.0
33,890.0,1474.0,1532.0
34,725.0,1252.0,1446.0
35,924.0,1127.0,1116.0
36,632.0,987.0,1228.0
37,562.0,951.0,960.0
38,620.0,850.0,978.0
39,498.0,866.0,834.0
40,527.0,795.0,874.0
41,434.0,698.0,826.0
42,414.0,698.0,767.0
43,434.0,614.0,582.0
44,342.0,522.0,517.0
45,406.0,567.0,626.0
46,396.0,552.0,597.0
47,339.0,478.0,466.0
48,357.0,466.0,482.0
49,369.0,470.0,494.0
50,300.0,442.0,402.0
51,324.0,422.0,345.0
52,238.0,402.0,339.0
53,280.0,357.0,378.0
54,262.0,354.0,363.0
55,268.0,348.0,324.0
56,234.0,303.0,294.0
57,226.0,280.0,318.0
58,214.0,286.0,306.0
59,224.0,284.0,286.0
60,204.0,242.0,260.0
61,206.0,272.0,254.0
62,194.0,260.0,234.0
63,220.0,246.0,268.0
64,196.0,222.0,246.0
65,185.0,236.0,256.0
66,196.0,210.0,208.0
67,187.0,212.0,204.0
68,172.0,210.0,184.0
69,178.0,202.0,194.0
70,162.0,193.0,188.0
71,161.0,204.0,185.0
72,163.0,180.0,182.0
73,167.0,172.0,186.0
74,159.0,187.0,184.0
75,161.0,171.0,171.0
76,145.0,174.0,161.0
77,148.0,166.0,152.0
78,155.0,163.0,156.0
79,138.0,169.0,155.0
80,137.0,153.0,149.0
81,147.0,142.0,150.0
82,133.0,138.0,138.0
83,136.0,148.0,131.0
84,135.0,130.0,150.0
85,128.0,126.0,150.0
86,125.0,131.0,141.0
87,131.0,139.0,134.0
88,118.0,127.0,129.0
89,126.0,129.0,131.0
90,127.0,131.0,127.0
91,114.0,116.0,125.0
92,113.0,122.0,112.0
93,117.0,110.0,113.0
94,112.0,127.0,124.0
95,120.0,110.0,111.0
96,113.0,107.0,116.0
97,110.0,116.0,113.0
98,110.0,108.0,114.0
99,110.0,108.0,118.0
100,107.0,114.0,109.0
